,name,score,people,director,author,type,eare,year,中国大陆,中国台湾,中国香港,eare_lu,eare_dalu
171,北京记忆,9.0,1261.0, 袁子勇 / 吴群, 孟京辉 / 邹静之 / 邓小平, 纪录片, 中国大陆,2012.0,1,0,0,,大陆
172,森林之歌,8.9,825.0, 陈晓卿 / 马伟平 / 张宝平 / 索贵均 / 张社生 / 李京 / 刘园园 / 李太山 / 肖崴 / 李文举 / 孟晓程 / 李小冬 / 贾丁 / 朱乐贤 / 杨小肃 / 周卉, 杨大林, 纪录片, 中国大陆,2007.0,1,0,0,,大陆
177,俺爹俺娘,8.7,7578.0, 韩蕾, 焦波, 纪录片 / 短片, 中国大陆,2003.0,1,0,0,,大陆
178,靖大爷和他的老主顾们,9.1,3403.0, 施润玖, 靖奎, 纪录片, 中国大陆,2002.0,1,0,0,,大陆
179,世纪战争,9.1,337.0, 不详, 任志宏（解说配音）, 历史 / 战争 / 纪录片, 中国大陆,2005.0,1,0,0,,大陆
181,三日为期,8.7,4216.0, 周晓萌, 俞灏明, 纪录片, 中国大陆,2018.0,1,0,0,,大陆
182,故宫新事,8.9,2357.0, 张志成 / 宗雨萱, 李永兴 / 杨泽华 / 屈峰, 纪录片, 中国大陆,2017.0,1,0,0,,大陆
183,说的就是你2 说的就是你II,8.9,6535.0, 王吕叉, 宋卿 / 杨天琪 / 顾珂嘉, 喜剧, 中国大陆,2015.0,1,0,0,,大陆
184,石榴熟了 第一季,8.6,302.0, 艾孜热提艾力·亚森, 麦麦提图尔荪·麦麦提力 / 祖拜丹木·艾山, 喜剧, 中国大陆,2016.0,1,0,0,,大陆
186,男人不醉,8.6,1414.0, 叶长青 / 尤明宇, 章涛 / 张墨锡 / 纪亚文, 剧情 / 喜剧 / 爱情, 中国大陆,2015.0,1,0,0,,大陆
